11/13/2022,6:16:11 PM,27.4, -OL, -OL,29.7
11/13/2022,6:16:21 PM,27.6, -OL, -OL,29.9
11/13/2022,6:16:31 PM,27.7, -OL, -OL,30.1
11/13/2022,6:16:41 PM,27.8, -OL, -OL,30.4
11/13/2022,6:16:51 PM,27.9, -OL, -OL,30.5
11/13/2022,6:17:01 PM,27.9, -OL, -OL,30.6
11/13/2022,6:17:11 PM,28.1, -OL, -OL,30.6
11/13/2022,6:17:21 PM,28.2, -OL, -OL,30.6
11/13/2022,6:17:31 PM,28.3, -OL, -OL,30.7
11/13/2022,6:17:41 PM,28.4, -OL, -OL,30.7
11/13/2022,6:17:51 PM,28.6, -OL, -OL,30.7
11/13/2022,6:18:01 PM,28.7, -OL, -OL,30.7
11/13/2022,6:18:11 PM,28.7, -OL, -OL,30.7
11/13/2022,6:18:21 PM,28.8, -OL, -OL,30.6
11/13/2022,6:18:31 PM,28.9, -OL, -OL,30.6
11/13/2022,6:18:41 PM,29.1, -OL, -OL,30.5
11/13/2022,6:18:51 PM,29.1, -OL, -OL,30.5
11/13/2022,6:19:01 PM,29.2, -OL, -OL,30.5
11/13/2022,6:19:11 PM,29.3, -OL, -OL,30.4
11/13/2022,6:19:21 PM,29.4, -OL, -OL,30.4
11/13/2022,6:19:31 PM,29.4, -OL, -OL,30.2
11/13/2022,6:19:41 PM,29.5, -OL, -OL,30.2
11/13/2022,6:19:51 PM,29.6, -OL, -OL,30.2
11/13/2022,6:20:01 PM,29.6, -OL, -OL,30.2
11/13/2022,6:20:11 PM,29.7, -OL, -OL,30.2
11/13/2022,6:20:21 PM,29.9, -OL, -OL,30.2
11/13/2022,6:20:31 PM,29.9, -OL, -OL,30.2
11/13/2022,6:20:41 PM,30.0, -OL, -OL,30.2
11/13/2022,6:20:51 PM,30.1, -OL, -OL,30.2
11/13/2022,6:21:01 PM,30.1, -OL, -OL,30.2
11/13/2022,6:21:11 PM,30.2, -OL, -OL,30.2
11/13/2022,6:21:21 PM,30.2, -OL, -OL,30.3
11/13/2022,6:21:31 PM,30.3, -OL, -OL,30.3
11/13/2022,6:21:41 PM,30.5, -OL, -OL,30.3
11/13/2022,6:21:51 PM,30.5, -OL, -OL,30.3
11/13/2022,6:22:01 PM,30.6, -OL, -OL,30.5
11/13/2022,6:22:11 PM,30.6, -OL, -OL,30.5
11/13/2022,6:22:21 PM,30.7, -OL, -OL,30.5
11/13/2022,6:22:31 PM,30.8, -OL, -OL,30.5
