11/13/2022,3:37:18 PM,27.8, -OL, -OL,29.6
11/13/2022,3:37:28 PM,28.2, -OL, -OL,29.9
11/13/2022,3:37:38 PM,28.5, -OL, -OL,30.1
11/13/2022,3:37:48 PM,28.8, -OL, -OL,30.2
11/13/2022,3:37:58 PM,29.1, -OL, -OL,30.3
11/13/2022,3:38:08 PM,29.3, -OL, -OL,30.3
11/13/2022,3:38:18 PM,29.5, -OL, -OL,30.4
11/13/2022,3:38:28 PM,29.8, -OL, -OL,30.4
11/13/2022,3:38:38 PM,29.9, -OL, -OL,30.4
11/13/2022,3:38:48 PM,30.2, -OL, -OL,30.6
11/13/2022,3:38:58 PM,30.3, -OL, -OL,30.6
11/13/2022,3:39:08 PM,30.4, -OL, -OL,30.6
11/13/2022,3:39:18 PM,30.7, -OL, -OL,30.6
11/13/2022,3:39:28 PM,30.8, -OL, -OL,30.6
11/13/2022,3:39:38 PM,30.9, -OL, -OL,30.4
11/13/2022,3:39:48 PM,31.2, -OL, -OL,30.4
11/13/2022,3:39:58 PM,31.3, -OL, -OL,30.4
11/13/2022,3:40:08 PM,31.5, -OL, -OL,30.3
11/13/2022,3:40:18 PM,31.6, -OL, -OL,30.3
11/13/2022,3:40:28 PM,31.7, -OL, -OL,30.2
11/13/2022,3:40:38 PM,31.9, -OL, -OL,30.2
11/13/2022,3:40:48 PM,32.0, -OL, -OL,30.1
11/13/2022,3:40:58 PM,32.1, -OL, -OL,30.1
11/13/2022,3:41:08 PM,32.3, -OL, -OL,30.1
11/13/2022,3:41:18 PM,32.4, -OL, -OL,30.1
11/13/2022,3:41:28 PM,32.6, -OL, -OL,30.1
11/13/2022,3:41:38 PM,32.7, -OL, -OL,30.1
11/13/2022,3:41:48 PM,32.8, -OL, -OL,30.1
11/13/2022,3:41:58 PM,32.9, -OL, -OL,30.1
11/13/2022,3:42:08 PM,33.0, -OL, -OL,30.1
11/13/2022,3:42:18 PM,33.1, -OL, -OL,30.1
11/13/2022,3:42:28 PM,33.3, -OL, -OL,30.2
11/13/2022,3:42:38 PM,33.4, -OL, -OL,30.2
11/13/2022,3:42:48 PM,33.4, -OL, -OL,30.2
11/13/2022,3:42:58 PM,33.5, -OL, -OL,30.3
11/13/2022,3:43:08 PM,33.7, -OL, -OL,30.3
11/13/2022,3:43:18 PM,33.8, -OL, -OL,30.3
11/13/2022,3:43:28 PM,33.9, -OL, -OL,30.3
11/13/2022,3:43:38 PM,34.1, -OL, -OL,30.5
11/13/2022,3:43:48 PM,34.1, -OL, -OL,30.5
11/13/2022,3:43:58 PM,34.2, -OL, -OL,30.5
11/13/2022,3:44:08 PM,34.3, -OL, -OL,30.5
11/13/2022,3:44:18 PM,34.4, -OL, -OL,30.5
11/13/2022,3:44:28 PM,34.4, -OL, -OL,30.6
11/13/2022,3:44:38 PM,34.6, -OL, -OL,30.6
11/13/2022,3:44:48 PM,34.7, -OL, -OL,30.6
11/13/2022,3:44:58 PM,34.7, -OL, -OL,30.6
11/13/2022,3:45:08 PM,34.8, -OL, -OL,30.4
11/13/2022,3:45:18 PM,34.9, -OL, -OL,30.4
11/13/2022,3:45:28 PM,34.9, -OL, -OL,30.4
11/13/2022,3:45:38 PM,35.1, -OL, -OL,30.4
11/13/2022,3:45:48 PM,35.2, -OL, -OL,30.4
11/13/2022,3:45:58 PM,35.2, -OL, -OL,30.4
11/13/2022,3:46:08 PM,35.3, -OL, -OL,30.4
11/13/2022,3:46:18 PM,35.4, -OL, -OL,30.4
11/13/2022,3:46:28 PM,35.5, -OL, -OL,30.4
11/13/2022,3:46:38 PM,35.5, -OL, -OL,30.4
11/13/2022,3:46:48 PM,35.7, -OL, -OL,30.4
11/13/2022,3:46:58 PM,35.7, -OL, -OL,30.4
11/13/2022,3:47:08 PM,35.8, -OL, -OL,30.4
11/13/2022,3:47:18 PM,35.9, -OL, -OL,30.4
11/13/2022,3:47:28 PM,35.9, -OL, -OL,30.4
11/13/2022,3:47:38 PM,36.0, -OL, -OL,30.4
11/13/2022,3:47:48 PM,36.2, -OL, -OL,30.4
11/13/2022,3:47:58 PM,36.2, -OL, -OL,30.4
11/13/2022,3:48:08 PM,36.3, -OL, -OL,30.4
11/13/2022,3:48:18 PM,36.3, -OL, -OL,30.4
11/13/2022,3:48:28 PM,36.4, -OL, -OL,30.4
11/13/2022,3:48:38 PM,36.4, -OL, -OL,30.4
11/13/2022,3:48:48 PM,36.5, -OL, -OL,30.6
11/13/2022,3:48:58 PM,36.5, -OL, -OL,30.6
11/13/2022,3:49:08 PM,36.6, -OL, -OL,30.6
11/13/2022,3:49:18 PM,36.8, -OL, -OL,30.6
11/13/2022,3:49:28 PM,36.8, -OL, -OL,30.6
11/13/2022,3:49:38 PM,36.9, -OL, -OL,30.6
11/13/2022,3:49:48 PM,36.9, -OL, -OL,30.6
11/13/2022,3:49:58 PM,37.0, -OL, -OL,30.6
11/13/2022,3:50:08 PM,37.0, -OL, -OL,30.6
11/13/2022,3:50:18 PM,37.1, -OL, -OL,30.6
11/13/2022,3:50:28 PM,37.1, -OL, -OL,30.4
11/13/2022,3:50:38 PM,37.2, -OL, -OL,30.4
11/13/2022,3:50:48 PM,37.2, -OL, -OL,30.4
11/13/2022,3:50:58 PM,37.3, -OL, -OL,30.4
11/13/2022,3:51:08 PM,37.3, -OL, -OL,30.4
11/13/2022,3:51:18 PM,37.4, -OL, -OL,30.4
11/13/2022,3:51:28 PM,37.4, -OL, -OL,30.4
11/13/2022,3:51:38 PM,37.6, -OL, -OL,30.4
11/13/2022,3:51:48 PM,37.6, -OL, -OL,30.6
11/13/2022,3:51:58 PM,37.7, -OL, -OL,30.6
11/13/2022,3:52:08 PM,37.7, -OL, -OL,30.7
