11/14/2022,2:37:26 PM,27.1, -OL, -OL,29.9
11/14/2022,2:37:36 PM,27.2, -OL, -OL,30.1
11/14/2022,2:37:46 PM,27.3, -OL, -OL,30.2
11/14/2022,2:37:56 PM,27.5, -OL, -OL,30.3
11/14/2022,2:38:06 PM,27.5, -OL, -OL,30.4
11/14/2022,2:38:16 PM,27.6, -OL, -OL,30.4
11/14/2022,2:38:26 PM,27.7, -OL, -OL,30.4
11/14/2022,2:38:36 PM,27.9, -OL, -OL,30.4
11/14/2022,2:38:46 PM,28.0, -OL, -OL,30.4
11/14/2022,2:38:56 PM,28.1, -OL, -OL,30.4
11/14/2022,2:39:06 PM,28.3, -OL, -OL,30.4
11/14/2022,2:39:16 PM,28.4, -OL, -OL,30.4
11/14/2022,2:39:26 PM,28.5, -OL, -OL,30.4
11/14/2022,2:39:36 PM,28.6, -OL, -OL,30.4
11/14/2022,2:39:46 PM,28.8, -OL, -OL,30.4
11/14/2022,2:39:56 PM,28.9, -OL, -OL,30.4
11/14/2022,2:40:06 PM,28.9, -OL, -OL,30.4
11/14/2022,2:40:16 PM,29.0, -OL, -OL,30.4
11/14/2022,2:40:26 PM,29.2, -OL, -OL,30.4
11/14/2022,2:40:36 PM,29.3, -OL, -OL,30.4
11/14/2022,2:40:46 PM,29.4, -OL, -OL,30.4
11/14/2022,2:40:56 PM,29.4, -OL, -OL,30.4
11/14/2022,2:41:06 PM,29.5, -OL, -OL,30.4
11/14/2022,2:41:16 PM,29.6, -OL, -OL,30.6
11/14/2022,2:41:26 PM,29.8, -OL, -OL,30.6
11/14/2022,2:41:36 PM,29.8, -OL, -OL,30.6
11/14/2022,2:41:46 PM,29.9, -OL, -OL,30.6
11/14/2022,2:41:56 PM,30.0, -OL, -OL,30.6
11/14/2022,2:42:06 PM,30.1, -OL, -OL,30.6
11/14/2022,2:42:16 PM,30.1, -OL, -OL,30.6
11/14/2022,2:42:26 PM,30.3, -OL, -OL,30.6
11/14/2022,2:42:36 PM,30.4, -OL, -OL,30.6
11/14/2022,2:42:46 PM,30.4, -OL, -OL,30.6
11/14/2022,2:42:56 PM,30.5, -OL, -OL,30.4
11/14/2022,2:43:06 PM,30.6, -OL, -OL,30.4
11/14/2022,2:43:16 PM,30.6, -OL, -OL,30.3
11/14/2022,2:43:26 PM,30.7, -OL, -OL,30.3
11/14/2022,2:43:36 PM,30.8, -OL, -OL,30.3
11/14/2022,2:43:46 PM,30.8, -OL, -OL,30.2
11/14/2022,2:43:56 PM,31.0, -OL, -OL,30.2
11/14/2022,2:44:06 PM,31.0, -OL, -OL,30.2
11/14/2022,2:44:16 PM,31.1, -OL, -OL,30.1
11/14/2022,2:44:26 PM,31.1, -OL, -OL,30.1
11/14/2022,2:44:36 PM,31.2, -OL, -OL,30.1
11/14/2022,2:44:46 PM,31.2, -OL, -OL,30.1
11/14/2022,2:44:56 PM,31.3, -OL, -OL,30.1
11/14/2022,2:45:06 PM,31.3, -OL, -OL,30.1
11/14/2022,2:45:16 PM,31.4, -OL, -OL,30.2
11/14/2022,2:45:26 PM,31.6, -OL, -OL,30.3
11/14/2022,2:45:36 PM,31.6, -OL, -OL,30.5
11/14/2022,2:45:46 PM,31.7, -OL, -OL,30.5
11/14/2022,2:45:56 PM,31.7, -OL, -OL,30.6
11/14/2022,2:46:06 PM,31.8, -OL, -OL,30.6
11/14/2022,2:46:16 PM,31.9, -OL, -OL,30.7
11/14/2022,2:46:26 PM,31.9, -OL, -OL,30.7
11/14/2022,2:46:36 PM,32.1, -OL, -OL,30.7
