11/15/2022,5:22:45 PM,27.2, -OL, -OL,30.5
11/15/2022,5:22:55 PM,27.3, -OL, -OL,30.5
11/15/2022,5:23:05 PM,27.4, -OL, -OL,30.5
11/15/2022,5:23:15 PM,27.6, -OL, -OL,30.5
11/15/2022,5:23:25 PM,27.7, -OL, -OL,30.5
11/15/2022,5:23:35 PM,27.8, -OL, -OL,30.5
11/15/2022,5:23:45 PM,27.8, -OL, -OL,30.3
11/15/2022,5:23:55 PM,27.9, -OL, -OL,30.3
11/15/2022,5:24:05 PM,28.1, -OL, -OL,30.3
11/15/2022,5:24:15 PM,28.2, -OL, -OL,30.3
11/15/2022,5:24:25 PM,28.3, -OL, -OL,30.3
11/15/2022,5:24:35 PM,28.4, -OL, -OL,30.3
11/15/2022,5:24:45 PM,28.6, -OL, -OL,30.3
11/15/2022,5:24:55 PM,28.6, -OL, -OL,30.3
11/15/2022,5:25:05 PM,28.7, -OL, -OL,30.3
11/15/2022,5:25:15 PM,28.8, -OL, -OL,30.3
11/15/2022,5:25:25 PM,28.9, -OL, -OL,30.3
11/15/2022,5:25:35 PM,29.1, -OL, -OL,30.3
11/15/2022,5:25:45 PM,29.1, -OL, -OL,30.5
11/15/2022,5:25:55 PM,29.2, -OL, -OL,30.5
11/15/2022,5:26:05 PM,29.3, -OL, -OL,30.5
11/15/2022,5:26:15 PM,29.4, -OL, -OL,30.5
11/15/2022,5:26:25 PM,29.4, -OL, -OL,30.6
11/15/2022,5:26:35 PM,29.6, -OL, -OL,30.6
11/15/2022,5:26:45 PM,29.7, -OL, -OL,30.6
11/15/2022,5:26:55 PM,29.7, -OL, -OL,30.6
11/15/2022,5:27:05 PM,29.8, -OL, -OL,30.7
11/15/2022,5:27:15 PM,29.9, -OL, -OL,30.7
11/15/2022,5:27:25 PM,30.1, -OL, -OL,30.7
11/15/2022,5:27:35 PM,30.1, -OL, -OL,30.7
11/15/2022,5:27:45 PM,30.2, -OL, -OL,30.8
11/15/2022,5:27:55 PM,30.3, -OL, -OL,30.8
11/15/2022,5:28:05 PM,30.3, -OL, -OL,30.8
11/15/2022,5:28:15 PM,30.4, -OL, -OL,30.8
11/15/2022,5:28:25 PM,30.5, -OL, -OL,30.9
11/15/2022,5:28:35 PM,30.5, -OL, -OL,30.9
11/15/2022,5:28:45 PM,30.7, -OL, -OL,30.9
11/15/2022,5:28:55 PM,30.8, -OL, -OL,30.9
11/15/2022,5:29:05 PM,30.8, -OL, -OL,30.9
11/15/2022,5:29:15 PM,30.9, -OL, -OL,30.9
11/15/2022,5:29:25 PM,31.0, -OL, -OL,30.9
11/15/2022,5:29:35 PM,31.0, -OL, -OL,30.9
11/15/2022,5:29:45 PM,31.2, -OL, -OL,30.8
11/15/2022,5:29:55 PM,31.2, -OL, -OL,30.8
11/15/2022,5:30:05 PM,31.3, -OL, -OL,30.7
11/15/2022,5:30:15 PM,31.4, -OL, -OL,30.7
11/15/2022,5:30:25 PM,31.4, -OL, -OL,30.6
11/15/2022,5:30:35 PM,31.5, -OL, -OL,30.6
11/15/2022,5:30:45 PM,31.5, -OL, -OL,30.5
11/15/2022,5:30:55 PM,31.6, -OL, -OL,30.3
11/15/2022,5:31:05 PM,31.7, -OL, -OL,30.3
11/15/2022,5:31:15 PM,31.7, -OL, -OL,30.2
11/15/2022,5:31:25 PM,31.9, -OL, -OL,30.2
11/15/2022,5:31:35 PM,31.9, -OL, -OL,30.1
11/15/2022,5:31:45 PM,31.9, -OL, -OL,30.1
11/15/2022,5:31:55 PM,31.9, -OL, -OL,30.0
11/15/2022,5:32:05 PM,32.1, -OL, -OL,30.0
11/15/2022,5:32:15 PM,32.1, -OL, -OL,30.0
11/15/2022,5:32:25 PM,32.2, -OL, -OL,30.1
11/15/2022,5:32:35 PM,32.2, -OL, -OL,30.2
11/15/2022,5:32:45 PM,32.3, -OL, -OL,30.2
11/15/2022,5:32:55 PM,32.3, -OL, -OL,30.3
11/15/2022,5:33:05 PM,32.3, -OL, -OL,30.3
11/15/2022,5:33:15 PM,32.5, -OL, -OL,30.3
11/15/2022,5:33:25 PM,32.5, -OL, -OL,30.4
11/15/2022,5:33:35 PM,32.6, -OL, -OL,30.4
11/15/2022,5:33:45 PM,32.6, -OL, -OL,30.6
11/15/2022,5:33:55 PM,32.7, -OL, -OL,30.6
11/15/2022,5:34:05 PM,32.7, -OL, -OL,30.6
11/15/2022,5:34:15 PM,32.8, -OL, -OL,30.6
11/15/2022,5:34:25 PM,32.8, -OL, -OL,30.6
11/15/2022,5:34:35 PM,32.9, -OL, -OL,30.6
11/15/2022,5:34:45 PM,32.9, -OL, -OL,30.6
11/15/2022,5:34:55 PM,32.9, -OL, -OL,30.6
11/15/2022,5:35:05 PM,33.1, -OL, -OL,30.4
11/15/2022,5:35:15 PM,33.1, -OL, -OL,30.4
11/15/2022,5:35:25 PM,33.2, -OL, -OL,30.3
11/15/2022,5:35:35 PM,33.2, -OL, -OL,30.3
11/15/2022,5:35:45 PM,33.2, -OL, -OL,30.2
11/15/2022,5:35:55 PM,33.3, -OL, -OL,30.2
11/15/2022,5:36:05 PM,33.3, -OL, -OL,30.2
11/15/2022,5:36:15 PM,33.4, -OL, -OL,30.1
11/15/2022,5:36:25 PM,33.4, -OL, -OL,30.1
11/15/2022,5:36:35 PM,33.4, -OL, -OL,30.1
11/15/2022,5:36:45 PM,33.6, -OL, -OL,30.1
11/15/2022,5:36:55 PM,33.6, -OL, -OL,30.1
11/15/2022,5:37:05 PM,33.7, -OL, -OL,30.1
11/15/2022,5:37:15 PM,33.7, -OL, -OL,30.1
11/15/2022,5:37:25 PM,33.7, -OL, -OL,30.1
11/15/2022,5:37:35 PM,33.8, -OL, -OL,30.1
