11/16/2022,6:24:54 PM,27.0, -OL, -OL,29.6
11/16/2022,6:25:04 PM,27.1, -OL, -OL,29.8
11/16/2022,6:25:14 PM,27.2, -OL, -OL,30.1
11/16/2022,6:25:24 PM,27.4, -OL, -OL,30.3
11/16/2022,6:25:34 PM,27.5, -OL, -OL,30.4
11/16/2022,6:25:44 PM,27.8, -OL, -OL,30.4
11/16/2022,6:25:54 PM,27.9, -OL, -OL,30.5
11/16/2022,6:26:04 PM,28.1, -OL, -OL,30.5
11/16/2022,6:26:14 PM,28.3, -OL, -OL,30.5
11/16/2022,6:26:24 PM,28.4, -OL, -OL,30.6
11/16/2022,6:26:34 PM,28.6, -OL, -OL,30.6
11/16/2022,6:26:44 PM,28.8, -OL, -OL,30.6
11/16/2022,6:26:54 PM,29.0, -OL, -OL,30.6
11/16/2022,6:27:04 PM,29.1, -OL, -OL,30.6
11/16/2022,6:27:14 PM,29.2, -OL, -OL,30.6
11/16/2022,6:27:24 PM,29.5, -OL, -OL,30.6
11/16/2022,6:27:34 PM,29.6, -OL, -OL,30.6
11/16/2022,6:27:44 PM,29.8, -OL, -OL,30.6
11/16/2022,6:27:54 PM,29.9, -OL, -OL,30.6
11/16/2022,6:28:04 PM,30.1, -OL, -OL,30.6
11/16/2022,6:28:14 PM,30.2, -OL, -OL,30.6
11/16/2022,6:28:24 PM,30.3, -OL, -OL,30.6
11/16/2022,6:28:34 PM,30.6, -OL, -OL,30.6
11/16/2022,6:28:44 PM,30.7, -OL, -OL,30.6
11/16/2022,6:28:54 PM,30.8, -OL, -OL,30.7
11/16/2022,6:29:04 PM,30.9, -OL, -OL,30.7
11/16/2022,6:29:14 PM,31.1, -OL, -OL,30.7
11/16/2022,6:29:24 PM,31.2, -OL, -OL,30.9
11/16/2022,6:29:34 PM,31.3, -OL, -OL,30.9
11/16/2022,6:29:44 PM,31.4, -OL, -OL,30.9
11/16/2022,6:29:54 PM,31.6, -OL, -OL,30.9
11/16/2022,6:30:04 PM,31.7, -OL, -OL,30.9
11/16/2022,6:30:14 PM,31.8, -OL, -OL,30.9
11/16/2022,6:30:24 PM,31.9, -OL, -OL,30.7
11/16/2022,6:30:34 PM,32.1, -OL, -OL,30.7
11/16/2022,6:30:44 PM,32.2, -OL, -OL,30.6
11/16/2022,6:30:54 PM,32.3, -OL, -OL,30.6
11/16/2022,6:31:04 PM,32.4, -OL, -OL,30.6
11/16/2022,6:31:14 PM,32.6, -OL, -OL,30.5
11/16/2022,6:31:24 PM,32.7, -OL, -OL,30.4
11/16/2022,6:31:34 PM,32.8, -OL, -OL,30.4
11/16/2022,6:31:44 PM,32.8, -OL, -OL,30.4
11/16/2022,6:31:54 PM,32.9, -OL, -OL,30.3
11/16/2022,6:32:04 PM,33.1, -OL, -OL,30.3
11/16/2022,6:32:14 PM,33.2, -OL, -OL,30.3
11/16/2022,6:32:24 PM,33.3, -OL, -OL,30.3
11/16/2022,6:32:34 PM,33.4, -OL, -OL,30.3
11/16/2022,6:32:44 PM,33.4, -OL, -OL,30.3
11/16/2022,6:32:54 PM,33.6, -OL, -OL,30.3
11/16/2022,6:33:04 PM,33.7, -OL, -OL,30.3
11/16/2022,6:33:14 PM,33.7, -OL, -OL,30.3
11/16/2022,6:33:24 PM,33.8, -OL, -OL,30.3
11/16/2022,6:33:34 PM,33.9, -OL, -OL,30.3
11/16/2022,6:33:44 PM,34.1, -OL, -OL,30.3
11/16/2022,6:33:54 PM,34.1, -OL, -OL,30.3
11/16/2022,6:34:04 PM,34.2, -OL, -OL,30.3
11/16/2022,6:34:14 PM,34.3, -OL, -OL,30.3
11/16/2022,6:34:24 PM,34.3, -OL, -OL,30.3
11/16/2022,6:34:34 PM,34.4, -OL, -OL,30.3
11/16/2022,6:34:44 PM,34.6, -OL, -OL,30.3
11/16/2022,6:34:54 PM,34.6, -OL, -OL,30.3
11/16/2022,6:35:04 PM,34.7, -OL, -OL,30.3
11/16/2022,6:35:14 PM,34.8, -OL, -OL,30.4
11/16/2022,6:35:24 PM,34.8, -OL, -OL,30.4
11/16/2022,6:35:34 PM,34.9, -OL, -OL,30.4
11/16/2022,6:35:44 PM,35.1, -OL, -OL,30.4
11/16/2022,6:35:54 PM,35.1, -OL, -OL,30.4
11/16/2022,6:36:04 PM,35.2, -OL, -OL,30.4
11/16/2022,6:36:14 PM,35.2, -OL, -OL,30.4
11/16/2022,6:36:24 PM,35.3, -OL, -OL,30.4
11/16/2022,6:36:34 PM,35.4, -OL, -OL,30.4
11/16/2022,6:36:44 PM,35.4, -OL, -OL,30.5
11/16/2022,6:36:54 PM,35.6, -OL, -OL,30.5
11/16/2022,6:37:04 PM,35.6, -OL, -OL,30.5
11/16/2022,6:37:14 PM,35.7, -OL, -OL,30.5
11/16/2022,6:37:24 PM,35.7, -OL, -OL,30.5
11/16/2022,6:37:34 PM,35.7, -OL, -OL,30.5
11/16/2022,6:37:44 PM,35.8, -OL, -OL,30.5
11/16/2022,6:37:54 PM,35.8, -OL, -OL,30.5
11/16/2022,6:38:04 PM,35.9, -OL, -OL,30.5
11/16/2022,6:38:14 PM,35.9, -OL, -OL,30.5
11/16/2022,6:38:24 PM,35.9, -OL, -OL,30.5
11/16/2022,6:38:34 PM,36.1, -OL, -OL,30.4
11/16/2022,6:38:44 PM,36.1, -OL, -OL,30.4
11/16/2022,6:38:54 PM,36.1, -OL, -OL,30.4
11/16/2022,6:39:04 PM,36.2, -OL, -OL,30.4
