11/13/2022,4:03:55 PM,26.9, -OL, -OL,29.8
11/13/2022,4:04:05 PM,26.9, -OL, -OL,29.9
11/13/2022,4:04:15 PM,27.0, -OL, -OL,30.0
11/13/2022,4:04:25 PM,27.1, -OL, -OL,30.2
11/13/2022,4:04:35 PM,27.1, -OL, -OL,30.2
11/13/2022,4:04:45 PM,27.2, -OL, -OL,30.2
11/13/2022,4:04:55 PM,27.3, -OL, -OL,30.3
11/13/2022,4:05:05 PM,27.3, -OL, -OL,30.3
11/13/2022,4:05:15 PM,27.5, -OL, -OL,30.3
11/13/2022,4:05:25 PM,27.5, -OL, -OL,30.3
11/13/2022,4:05:35 PM,27.6, -OL, -OL,30.3
11/13/2022,4:05:45 PM,27.6, -OL, -OL,30.2
11/13/2022,4:05:55 PM,27.7, -OL, -OL,30.2
11/13/2022,4:06:05 PM,27.7, -OL, -OL,30.0
11/13/2022,4:06:15 PM,27.8, -OL, -OL,30.0
11/13/2022,4:06:25 PM,27.8, -OL, -OL,29.9
11/13/2022,4:06:35 PM,27.9, -OL, -OL,29.9
11/13/2022,4:06:45 PM,27.9, -OL, -OL,29.8
11/13/2022,4:06:55 PM,28.1, -OL, -OL,29.8
11/13/2022,4:07:05 PM,28.1, -OL, -OL,29.8
11/13/2022,4:07:15 PM,28.2, -OL, -OL,29.7
11/13/2022,4:07:25 PM,28.2, -OL, -OL,29.7
11/13/2022,4:07:35 PM,28.3, -OL, -OL,29.7
11/13/2022,4:07:45 PM,28.3, -OL, -OL,29.8
11/13/2022,4:07:55 PM,28.3, -OL, -OL,29.8
11/13/2022,4:08:05 PM,28.4, -OL, -OL,29.8
11/13/2022,4:08:15 PM,28.4, -OL, -OL,29.9
11/13/2022,4:08:25 PM,28.6, -OL, -OL,29.9
11/13/2022,4:08:35 PM,28.6, -OL, -OL,29.9
11/13/2022,4:08:45 PM,28.7, -OL, -OL,30.0
11/13/2022,4:08:55 PM,28.7, -OL, -OL,30.0
11/13/2022,4:09:05 PM,28.8, -OL, -OL,30.0
11/13/2022,4:09:15 PM,28.8, -OL, -OL,30.0
11/13/2022,4:09:25 PM,28.8, -OL, -OL,30.0
11/13/2022,4:09:35 PM,28.9, -OL, -OL,30.1
11/13/2022,4:09:45 PM,28.9, -OL, -OL,30.1
11/13/2022,4:09:55 PM,29.0, -OL, -OL,30.1
11/13/2022,4:10:05 PM,29.0, -OL, -OL,30.1
11/13/2022,4:10:15 PM,29.1, -OL, -OL,30.1
11/13/2022,4:10:25 PM,29.1, -OL, -OL,30.2
11/13/2022,4:10:35 PM,29.1, -OL, -OL,30.2
11/13/2022,4:10:45 PM,29.2, -OL, -OL,30.2
11/13/2022,4:10:55 PM,29.2, -OL, -OL,30.2
11/13/2022,4:11:05 PM,29.3, -OL, -OL,30.2
11/13/2022,4:11:15 PM,29.3, -OL, -OL,30.2
11/13/2022,4:11:25 PM,29.3, -OL, -OL,30.3
11/13/2022,4:11:35 PM,29.5, -OL, -OL,30.3
11/13/2022,4:11:45 PM,29.5, -OL, -OL,30.3
11/13/2022,4:11:55 PM,29.5, -OL, -OL,30.3
11/13/2022,4:12:05 PM,29.6, -OL, -OL,30.3
11/13/2022,4:12:15 PM,29.6, -OL, -OL,30.3
11/13/2022,4:12:25 PM,29.7, -OL, -OL,30.5
11/13/2022,4:12:35 PM,29.7, -OL, -OL,30.5
11/13/2022,4:12:45 PM,29.7, -OL, -OL,30.5
11/13/2022,4:12:55 PM,29.8, -OL, -OL,30.5
11/13/2022,4:13:05 PM,29.8, -OL, -OL,30.5
11/13/2022,4:13:15 PM,29.9, -OL, -OL,30.5
11/13/2022,4:13:25 PM,29.9, -OL, -OL,30.5
11/13/2022,4:13:35 PM,29.9, -OL, -OL,30.6
11/13/2022,4:13:45 PM,30.1, -OL, -OL,30.6
11/13/2022,4:13:55 PM,30.1, -OL, -OL,30.6
11/13/2022,4:14:05 PM,30.1, -OL, -OL,30.6
11/13/2022,4:14:15 PM,30.2, -OL, -OL,30.6
11/13/2022,4:14:25 PM,30.2, -OL, -OL,30.6
11/13/2022,4:14:35 PM,30.2, -OL, -OL,30.6
11/13/2022,4:14:45 PM,30.3, -OL, -OL,30.5
11/13/2022,4:14:55 PM,30.3, -OL, -OL,30.5
11/13/2022,4:15:05 PM,30.3, -OL, -OL,30.3
11/13/2022,4:15:15 PM,30.4, -OL, -OL,30.2
11/13/2022,4:15:25 PM,30.4, -OL, -OL,30.2
11/13/2022,4:15:35 PM,30.4, -OL, -OL,30.1
11/13/2022,4:15:45 PM,30.4, -OL, -OL,30.1
11/13/2022,4:15:55 PM,30.6, -OL, -OL,30.0
11/13/2022,4:16:05 PM,30.6, -OL, -OL,29.9
11/13/2022,4:16:15 PM,30.6, -OL, -OL,29.9
11/13/2022,4:16:25 PM,30.7, -OL, -OL,29.9
11/13/2022,4:16:35 PM,30.7, -OL, -OL,29.9
11/13/2022,4:16:45 PM,30.7, -OL, -OL,29.9
11/13/2022,4:16:55 PM,30.7, -OL, -OL,30.0
11/13/2022,4:17:05 PM,30.8, -OL, -OL,30.0
11/13/2022,4:17:15 PM,30.8, -OL, -OL,30.1
11/13/2022,4:17:25 PM,30.8, -OL, -OL,30.1
11/13/2022,4:17:35 PM,30.9, -OL, -OL,30.1
11/13/2022,4:17:45 PM,30.9, -OL, -OL,30.1
11/13/2022,4:17:55 PM,30.9, -OL, -OL,30.2
11/13/2022,4:18:05 PM,31.1, -OL, -OL,30.2
11/13/2022,4:18:15 PM,31.1, -OL, -OL,30.2
11/13/2022,4:18:25 PM,31.1, -OL, -OL,30.2
11/13/2022,4:18:35 PM,31.1, -OL, -OL,30.2
11/13/2022,4:18:45 PM,31.2, -OL, -OL,30.2
