11/16/2022,5:38:39 PM,27.1, -OL, -OL,30.9
11/16/2022,5:38:49 PM,27.2, -OL, -OL,30.8
11/16/2022,5:38:59 PM,27.2, -OL, -OL,30.6
11/16/2022,5:39:09 PM,27.3, -OL, -OL,30.6
11/16/2022,5:39:19 PM,27.4, -OL, -OL,30.5
11/16/2022,5:39:29 PM,27.4, -OL, -OL,30.4
11/16/2022,5:39:39 PM,27.6, -OL, -OL,30.2
11/16/2022,5:39:49 PM,27.6, -OL, -OL,30.2
11/16/2022,5:39:59 PM,27.7, -OL, -OL,30.1
11/16/2022,5:40:09 PM,27.7, -OL, -OL,30.0
11/16/2022,5:40:19 PM,27.8, -OL, -OL,29.9
11/16/2022,5:40:29 PM,27.8, -OL, -OL,29.9
11/16/2022,5:40:39 PM,27.8, -OL, -OL,29.7
11/16/2022,5:40:49 PM,27.9, -OL, -OL,29.7
11/16/2022,5:40:59 PM,27.9, -OL, -OL,29.7
11/16/2022,5:41:09 PM,27.9, -OL, -OL,29.6
11/16/2022,5:41:19 PM,28.1, -OL, -OL,29.6
11/16/2022,5:41:29 PM,28.1, -OL, -OL,29.6
11/16/2022,5:41:39 PM,28.2, -OL, -OL,29.8
11/16/2022,5:41:49 PM,28.2, -OL, -OL,29.8
11/16/2022,5:41:59 PM,28.2, -OL, -OL,29.9
11/16/2022,5:42:09 PM,28.3, -OL, -OL,29.9
11/16/2022,5:42:19 PM,28.3, -OL, -OL,30.0
11/16/2022,5:42:29 PM,28.4, -OL, -OL,30.0
11/16/2022,5:42:39 PM,28.4, -OL, -OL,30.1
11/16/2022,5:42:49 PM,28.6, -OL, -OL,30.1
11/16/2022,5:42:59 PM,28.6, -OL, -OL,30.1
11/16/2022,5:43:09 PM,28.6, -OL, -OL,30.1
11/16/2022,5:43:19 PM,28.7, -OL, -OL,30.2
11/16/2022,5:43:29 PM,28.7, -OL, -OL,30.2
11/16/2022,5:43:39 PM,28.8, -OL, -OL,30.2
11/16/2022,5:43:49 PM,28.8, -OL, -OL,30.2
11/16/2022,5:43:59 PM,28.9, -OL, -OL,30.3
11/16/2022,5:44:09 PM,28.9, -OL, -OL,30.3
11/16/2022,5:44:19 PM,28.9, -OL, -OL,30.3
11/16/2022,5:44:29 PM,29.0, -OL, -OL,30.3
11/16/2022,5:44:39 PM,29.0, -OL, -OL,30.3
11/16/2022,5:44:49 PM,29.1, -OL, -OL,30.3
11/16/2022,5:44:59 PM,29.1, -OL, -OL,30.3
11/16/2022,5:45:09 PM,29.1, -OL, -OL,30.3
11/16/2022,5:45:19 PM,29.2, -OL, -OL,30.3
11/16/2022,5:45:29 PM,29.2, -OL, -OL,30.3
11/16/2022,5:45:39 PM,29.2, -OL, -OL,30.2
11/16/2022,5:45:49 PM,29.3, -OL, -OL,30.2
11/16/2022,5:45:59 PM,29.3, -OL, -OL,30.2
11/16/2022,5:46:09 PM,29.3, -OL, -OL,30.2
11/16/2022,5:46:19 PM,29.5, -OL, -OL,30.2
11/16/2022,5:46:29 PM,29.5, -OL, -OL,30.2
11/16/2022,5:46:39 PM,29.5, -OL, -OL,30.2
11/16/2022,5:46:49 PM,29.5, -OL, -OL,30.2
11/16/2022,5:46:59 PM,29.6, -OL, -OL,30.2
11/16/2022,5:47:09 PM,29.6, -OL, -OL,30.2
11/16/2022,5:47:19 PM,29.6, -OL, -OL,30.2
11/16/2022,5:47:29 PM,29.7, -OL, -OL,30.2
11/16/2022,5:47:39 PM,29.7, -OL, -OL,30.2
11/16/2022,5:47:49 PM,29.7, -OL, -OL,30.2
11/16/2022,5:47:59 PM,29.9, -OL, -OL,30.2
11/16/2022,5:48:09 PM,29.9, -OL, -OL,30.2
11/16/2022,5:48:19 PM,29.9, -OL, -OL,30.2
11/16/2022,5:48:29 PM,29.9, -OL, -OL,30.2
11/16/2022,5:48:39 PM,30.0, -OL, -OL,30.2
