11/14/2022,12:32:13 PM,27.1, -OL, -OL,29.7
11/14/2022,12:32:23 PM,27.2, -OL, -OL,30.0
11/14/2022,12:32:33 PM,27.4, -OL, -OL,30.2
11/14/2022,12:32:43 PM,27.4, -OL, -OL,30.3
11/14/2022,12:32:53 PM,27.6, -OL, -OL,30.4
11/14/2022,12:33:03 PM,27.7, -OL, -OL,30.6
11/14/2022,12:33:13 PM,27.8, -OL, -OL,30.6
11/14/2022,12:33:23 PM,28.0, -OL, -OL,30.6
11/14/2022,12:33:33 PM,28.1, -OL, -OL,30.6
11/14/2022,12:33:43 PM,28.2, -OL, -OL,30.6
11/14/2022,12:33:53 PM,28.2, -OL, -OL,30.6
11/14/2022,12:34:03 PM,28.4, -OL, -OL,30.6
11/14/2022,12:34:13 PM,28.5, -OL, -OL,30.6
11/14/2022,12:34:23 PM,28.6, -OL, -OL,30.6
11/14/2022,12:34:33 PM,28.6, -OL, -OL,30.4
11/14/2022,12:34:43 PM,28.7, -OL, -OL,30.4
11/14/2022,12:34:53 PM,28.8, -OL, -OL,30.3
11/14/2022,12:35:03 PM,28.8, -OL, -OL,30.3
11/14/2022,12:35:13 PM,29.0, -OL, -OL,30.2
11/14/2022,12:35:23 PM,29.1, -OL, -OL,30.2
11/14/2022,12:35:33 PM,29.1, -OL, -OL,30.1
11/14/2022,12:35:43 PM,29.2, -OL, -OL,30.1
11/14/2022,12:35:53 PM,29.3, -OL, -OL,29.9
11/14/2022,12:36:03 PM,29.3, -OL, -OL,29.9
11/14/2022,12:36:13 PM,29.4, -OL, -OL,29.8
11/14/2022,12:36:23 PM,29.6, -OL, -OL,29.8
11/14/2022,12:36:33 PM,29.6, -OL, -OL,29.8
11/14/2022,12:36:43 PM,29.7, -OL, -OL,29.8
11/14/2022,12:36:53 PM,29.7, -OL, -OL,29.9
11/14/2022,12:37:03 PM,29.8, -OL, -OL,29.9
11/14/2022,12:37:13 PM,29.9, -OL, -OL,30.1
11/14/2022,12:37:23 PM,29.9, -OL, -OL,30.2
11/14/2022,12:37:33 PM,30.1, -OL, -OL,30.2
11/14/2022,12:37:43 PM,30.1, -OL, -OL,30.2
11/14/2022,12:37:53 PM,30.2, -OL, -OL,30.3
11/14/2022,12:38:03 PM,30.3, -OL, -OL,30.3
11/14/2022,12:38:13 PM,30.3, -OL, -OL,30.3
11/14/2022,12:38:23 PM,30.4, -OL, -OL,30.3
11/14/2022,12:38:33 PM,30.4, -OL, -OL,30.3
11/14/2022,12:38:43 PM,30.6, -OL, -OL,30.3
11/14/2022,12:38:53 PM,30.7, -OL, -OL,30.3
11/14/2022,12:39:03 PM,30.7, -OL, -OL,30.4
11/14/2022,12:39:13 PM,30.8, -OL, -OL,30.4
11/14/2022,12:39:23 PM,30.8, -OL, -OL,30.4
11/14/2022,12:39:33 PM,30.9, -OL, -OL,30.4
11/14/2022,12:39:43 PM,31.0, -OL, -OL,30.4
11/14/2022,12:39:53 PM,31.0, -OL, -OL,30.6
11/14/2022,12:40:03 PM,31.2, -OL, -OL,30.6
11/14/2022,12:40:13 PM,31.2, -OL, -OL,30.6
11/14/2022,12:40:23 PM,31.3, -OL, -OL,30.6
11/14/2022,12:40:33 PM,31.3, -OL, -OL,30.6
11/14/2022,12:40:43 PM,31.4, -OL, -OL,30.7
11/14/2022,12:40:53 PM,31.4, -OL, -OL,30.7
11/14/2022,12:41:03 PM,31.5, -OL, -OL,30.7
11/14/2022,12:41:13 PM,31.5, -OL, -OL,30.7
11/14/2022,12:41:23 PM,31.7, -OL, -OL,30.6
11/14/2022,12:41:33 PM,31.7, -OL, -OL,30.6
11/14/2022,12:41:43 PM,31.8, -OL, -OL,30.4
11/14/2022,12:41:53 PM,31.8, -OL, -OL,30.4
11/14/2022,12:42:03 PM,31.9, -OL, -OL,30.3
11/14/2022,12:42:13 PM,31.9, -OL, -OL,30.3
11/14/2022,12:42:23 PM,32.0, -OL, -OL,30.2
11/14/2022,12:42:33 PM,32.0, -OL, -OL,30.2
11/14/2022,12:42:43 PM,32.1, -OL, -OL,30.1
11/14/2022,12:42:53 PM,32.1, -OL, -OL,30.1
11/14/2022,12:43:03 PM,32.1, -OL, -OL,30.1
11/14/2022,12:43:13 PM,32.3, -OL, -OL,29.9
11/14/2022,12:43:23 PM,32.3, -OL, -OL,29.9
11/14/2022,12:43:33 PM,32.4, -OL, -OL,29.9
11/14/2022,12:43:43 PM,32.4, -OL, -OL,30.1
