11/11/2022,6:04:30 PM,27.1, -OL, -OL,30.0
11/11/2022,6:04:40 PM,27.2, -OL, -OL,29.9
11/11/2022,6:04:50 PM,27.3, -OL, -OL,29.9
11/11/2022,6:05:00 PM,27.3, -OL, -OL,29.7
11/11/2022,6:05:10 PM,27.4, -OL, -OL,29.7
11/11/2022,6:05:20 PM,27.6, -OL, -OL,29.6
11/11/2022,6:05:30 PM,27.7, -OL, -OL,29.6
11/11/2022,6:05:40 PM,27.7, -OL, -OL,29.6
11/11/2022,6:05:50 PM,27.8, -OL, -OL,29.6
11/11/2022,6:06:00 PM,27.9, -OL, -OL,29.7
11/11/2022,6:06:10 PM,28.1, -OL, -OL,29.7
11/11/2022,6:06:20 PM,28.1, -OL, -OL,29.9
11/11/2022,6:06:30 PM,28.2, -OL, -OL,29.9
11/11/2022,6:06:40 PM,28.3, -OL, -OL,30.0
11/11/2022,6:06:50 PM,28.3, -OL, -OL,30.0
11/11/2022,6:07:00 PM,28.4, -OL, -OL,30.0
11/11/2022,6:07:10 PM,28.6, -OL, -OL,30.0
11/11/2022,6:07:20 PM,28.6, -OL, -OL,30.1
11/11/2022,6:07:30 PM,28.7, -OL, -OL,30.1
11/11/2022,6:07:40 PM,28.8, -OL, -OL,30.1
11/11/2022,6:07:50 PM,28.8, -OL, -OL,30.1
11/11/2022,6:08:00 PM,28.9, -OL, -OL,30.2
11/11/2022,6:08:10 PM,28.9, -OL, -OL,30.2
11/11/2022,6:08:20 PM,29.1, -OL, -OL,30.2
11/11/2022,6:08:30 PM,29.1, -OL, -OL,30.2
11/11/2022,6:08:40 PM,29.2, -OL, -OL,30.2
11/11/2022,6:08:50 PM,29.3, -OL, -OL,30.3
11/11/2022,6:09:00 PM,29.3, -OL, -OL,30.3
11/11/2022,6:09:10 PM,29.4, -OL, -OL,30.3
11/11/2022,6:09:20 PM,29.4, -OL, -OL,30.3
11/11/2022,6:09:30 PM,29.5, -OL, -OL,30.3
11/11/2022,6:09:40 PM,29.7, -OL, -OL,30.3
11/11/2022,6:09:50 PM,29.7, -OL, -OL,30.3
11/11/2022,6:10:00 PM,29.8, -OL, -OL,30.3
11/11/2022,6:10:10 PM,29.8, -OL, -OL,30.3
11/11/2022,6:10:20 PM,29.8, -OL, -OL,30.3
11/11/2022,6:10:30 PM,29.9, -OL, -OL,30.3
11/11/2022,6:10:40 PM,30.0, -OL, -OL,30.3
