11/11/2022,3:51:18 PM,27.7, -OL, -OL,29.7
11/11/2022,3:51:28 PM,27.8, -OL, -OL,29.8
11/11/2022,3:51:38 PM,28.0, -OL, -OL,29.9
11/11/2022,3:51:48 PM,28.1, -OL, -OL,29.9
11/11/2022,3:51:58 PM,28.2, -OL, -OL,30.1
11/11/2022,3:52:08 PM,28.3, -OL, -OL,30.1
11/11/2022,3:52:18 PM,28.4, -OL, -OL,30.1
11/11/2022,3:52:28 PM,28.4, -OL, -OL,30.1
11/11/2022,3:52:38 PM,28.6, -OL, -OL,30.1
11/11/2022,3:52:48 PM,28.7, -OL, -OL,30.1
11/11/2022,3:52:58 PM,28.7, -OL, -OL,30.1
11/11/2022,3:53:08 PM,28.8, -OL, -OL,29.9
11/11/2022,3:53:18 PM,28.8, -OL, -OL,29.9
11/11/2022,3:53:28 PM,29.0, -OL, -OL,29.9
11/11/2022,3:53:38 PM,29.1, -OL, -OL,29.8
11/11/2022,3:53:48 PM,29.1, -OL, -OL,29.8
11/11/2022,3:53:58 PM,29.2, -OL, -OL,29.8
11/11/2022,3:54:08 PM,29.2, -OL, -OL,29.8
11/11/2022,3:54:18 PM,29.3, -OL, -OL,29.8
11/11/2022,3:54:28 PM,29.3, -OL, -OL,30.0
11/11/2022,3:54:38 PM,29.4, -OL, -OL,30.0
11/11/2022,3:54:48 PM,29.6, -OL, -OL,30.1
11/11/2022,3:54:58 PM,29.6, -OL, -OL,30.1
11/11/2022,3:55:08 PM,29.7, -OL, -OL,30.2
11/11/2022,3:55:18 PM,29.7, -OL, -OL,30.2
11/11/2022,3:55:28 PM,29.8, -OL, -OL,30.2
11/11/2022,3:55:38 PM,29.8, -OL, -OL,30.2
11/11/2022,3:55:48 PM,29.9, -OL, -OL,30.2
11/11/2022,3:55:58 PM,29.9, -OL, -OL,30.2
11/11/2022,3:56:08 PM,29.9, -OL, -OL,30.2
11/11/2022,3:56:18 PM,30.1, -OL, -OL,30.2
11/11/2022,3:56:28 PM,30.1, -OL, -OL,30.2
11/11/2022,3:56:38 PM,30.2, -OL, -OL,30.2
11/11/2022,3:56:48 PM,30.2, -OL, -OL,30.2
11/11/2022,3:56:58 PM,30.3, -OL, -OL,30.2
11/11/2022,3:57:08 PM,30.3, -OL, -OL,30.2
11/11/2022,3:57:18 PM,30.3, -OL, -OL,30.3
11/11/2022,3:57:28 PM,30.4, -OL, -OL,30.3
