11/11/2022,3:22:54 PM,27.3, -OL, -OL,30.1
11/11/2022,3:23:04 PM,27.4, -OL, -OL,30.1
11/11/2022,3:23:14 PM,27.6, -OL, -OL,30.1
11/11/2022,3:23:24 PM,27.7, -OL, -OL,30.1
11/11/2022,3:23:34 PM,27.8, -OL, -OL,30.1
11/11/2022,3:23:44 PM,27.9, -OL, -OL,30.1
11/11/2022,3:23:54 PM,28.1, -OL, -OL,30.1
11/11/2022,3:24:04 PM,28.1, -OL, -OL,30.1
11/11/2022,3:24:14 PM,28.2, -OL, -OL,30.1
11/11/2022,3:24:24 PM,28.3, -OL, -OL,30.0
11/11/2022,3:24:34 PM,28.3, -OL, -OL,30.0
11/11/2022,3:24:44 PM,28.4, -OL, -OL,29.8
11/11/2022,3:24:54 PM,28.4, -OL, -OL,29.8
11/11/2022,3:25:04 PM,28.6, -OL, -OL,29.7
11/11/2022,3:25:14 PM,28.7, -OL, -OL,29.7
11/11/2022,3:25:24 PM,28.7, -OL, -OL,29.7
11/11/2022,3:25:34 PM,28.8, -OL, -OL,29.7
11/11/2022,3:25:44 PM,28.8, -OL, -OL,29.7
11/11/2022,3:25:54 PM,28.9, -OL, -OL,29.7
11/11/2022,3:26:04 PM,28.9, -OL, -OL,29.7
11/11/2022,3:26:14 PM,29.1, -OL, -OL,29.8
11/11/2022,3:26:24 PM,29.1, -OL, -OL,29.8
11/11/2022,3:26:34 PM,29.2, -OL, -OL,30.0
11/11/2022,3:26:44 PM,29.2, -OL, -OL,30.0
11/11/2022,3:26:54 PM,29.3, -OL, -OL,30.0
11/11/2022,3:27:04 PM,29.3, -OL, -OL,30.1
11/11/2022,3:27:14 PM,29.4, -OL, -OL,30.1
11/11/2022,3:27:24 PM,29.4, -OL, -OL,30.1
11/11/2022,3:27:34 PM,29.6, -OL, -OL,30.1
11/11/2022,3:27:44 PM,29.6, -OL, -OL,30.2
11/11/2022,3:27:54 PM,29.7, -OL, -OL,30.2
11/11/2022,3:28:04 PM,29.7, -OL, -OL,30.2
11/11/2022,3:28:14 PM,29.8, -OL, -OL,30.2
11/11/2022,3:28:24 PM,29.8, -OL, -OL,30.3
11/11/2022,3:28:34 PM,29.8, -OL, -OL,30.3
11/11/2022,3:28:44 PM,29.9, -OL, -OL,30.3
11/11/2022,3:28:54 PM,29.9, -OL, -OL,30.3
11/11/2022,3:29:04 PM,30.1, -OL, -OL,30.3
11/11/2022,3:29:14 PM,30.1, -OL, -OL,30.3
11/11/2022,3:29:24 PM,30.2, -OL, -OL,30.4
11/11/2022,3:29:34 PM,30.2, -OL, -OL,30.4
11/11/2022,3:29:44 PM,30.2, -OL, -OL,30.4
11/11/2022,3:29:54 PM,30.3, -OL, -OL,30.4
11/11/2022,3:30:04 PM,30.3, -OL, -OL,30.4
11/11/2022,3:30:14 PM,30.4, -OL, -OL,30.4
11/11/2022,3:30:24 PM,30.4, -OL, -OL,30.4
11/11/2022,3:30:34 PM,30.4, -OL, -OL,30.4
