11/13/2022,1:15:33 PM,27.2, -OL, -OL,30.1
11/13/2022,1:15:43 PM,27.2, -OL, -OL,30.1
11/13/2022,1:15:53 PM,27.2, -OL, -OL,30.1
11/13/2022,1:16:03 PM,27.3, -OL, -OL,30.1
11/13/2022,1:16:13 PM,27.4, -OL, -OL,30.1
11/13/2022,1:16:23 PM,27.4, -OL, -OL,30.1
11/13/2022,1:16:33 PM,27.6, -OL, -OL,30.1
11/13/2022,1:16:43 PM,27.6, -OL, -OL,30.0
11/13/2022,1:16:53 PM,27.7, -OL, -OL,30.0
11/13/2022,1:17:03 PM,27.7, -OL, -OL,30.0
11/13/2022,1:17:13 PM,27.8, -OL, -OL,29.9
11/13/2022,1:17:23 PM,27.8, -OL, -OL,29.8
11/13/2022,1:17:33 PM,27.9, -OL, -OL,29.8
11/13/2022,1:17:43 PM,27.9, -OL, -OL,29.8
11/13/2022,1:17:53 PM,27.9, -OL, -OL,29.8
11/13/2022,1:18:03 PM,28.1, -OL, -OL,29.8
11/13/2022,1:18:13 PM,28.2, -OL, -OL,29.8
11/13/2022,1:18:23 PM,28.2, -OL, -OL,29.8
11/13/2022,1:18:33 PM,28.2, -OL, -OL,29.8
11/13/2022,1:18:43 PM,28.3, -OL, -OL,29.8
11/13/2022,1:18:53 PM,28.3, -OL, -OL,29.8
11/13/2022,1:19:03 PM,28.4, -OL, -OL,29.8
11/13/2022,1:19:13 PM,28.4, -OL, -OL,29.9
11/13/2022,1:19:23 PM,28.6, -OL, -OL,29.9
11/13/2022,1:19:33 PM,28.6, -OL, -OL,29.9
11/13/2022,1:19:43 PM,28.7, -OL, -OL,29.9
11/13/2022,1:19:53 PM,28.7, -OL, -OL,29.9
11/13/2022,1:20:03 PM,28.8, -OL, -OL,30.0
11/13/2022,1:20:13 PM,28.8, -OL, -OL,30.0
11/13/2022,1:20:23 PM,28.8, -OL, -OL,30.0
11/13/2022,1:20:33 PM,28.9, -OL, -OL,30.0
11/13/2022,1:20:43 PM,28.9, -OL, -OL,30.0
11/13/2022,1:20:53 PM,29.1, -OL, -OL,30.0
11/13/2022,1:21:03 PM,29.1, -OL, -OL,30.1
11/13/2022,1:21:13 PM,29.1, -OL, -OL,30.1
