11/11/2022,2:03:10 PM,27.3, -OL, -OL,29.8
11/11/2022,2:03:20 PM,27.7, -OL, -OL,29.9
11/11/2022,2:03:30 PM,27.8, -OL, -OL,30.1
11/11/2022,2:03:40 PM,28.1, -OL, -OL,30.2
11/11/2022,2:03:50 PM,28.2, -OL, -OL,30.3
11/11/2022,2:04:00 PM,28.3, -OL, -OL,30.3
11/11/2022,2:04:10 PM,28.4, -OL, -OL,30.3
11/11/2022,2:04:20 PM,28.6, -OL, -OL,30.4
11/11/2022,2:04:30 PM,28.7, -OL, -OL,30.4
11/11/2022,2:04:40 PM,28.8, -OL, -OL,30.4
11/11/2022,2:04:50 PM,28.9, -OL, -OL,30.4
11/11/2022,2:05:00 PM,28.9, -OL, -OL,30.4
11/11/2022,2:05:10 PM,29.1, -OL, -OL,30.3
11/11/2022,2:05:20 PM,29.2, -OL, -OL,30.3
11/11/2022,2:05:30 PM,29.3, -OL, -OL,30.2
11/11/2022,2:05:40 PM,29.4, -OL, -OL,30.2
11/11/2022,2:05:50 PM,29.6, -OL, -OL,30.2
11/11/2022,2:06:00 PM,29.6, -OL, -OL,30.1
11/11/2022,2:06:10 PM,29.7, -OL, -OL,30.1
11/11/2022,2:06:20 PM,29.8, -OL, -OL,29.9
11/11/2022,2:06:30 PM,29.8, -OL, -OL,29.9
11/11/2022,2:06:40 PM,29.9, -OL, -OL,29.9
11/11/2022,2:06:50 PM,30.1, -OL, -OL,29.9
11/11/2022,2:07:00 PM,30.1, -OL, -OL,30.1
11/11/2022,2:07:10 PM,30.2, -OL, -OL,30.1
11/11/2022,2:07:20 PM,30.3, -OL, -OL,30.2
11/11/2022,2:07:30 PM,30.4, -OL, -OL,30.2
11/11/2022,2:07:40 PM,30.4, -OL, -OL,30.3
11/11/2022,2:07:50 PM,30.6, -OL, -OL,30.3
11/11/2022,2:08:00 PM,30.7, -OL, -OL,30.3
11/11/2022,2:08:10 PM,30.8, -OL, -OL,30.4
11/11/2022,2:08:20 PM,30.8, -OL, -OL,30.4
11/11/2022,2:08:30 PM,30.9, -OL, -OL,30.4
11/11/2022,2:08:40 PM,31.1, -OL, -OL,30.6
11/11/2022,2:08:50 PM,31.1, -OL, -OL,30.6
11/11/2022,2:09:00 PM,31.2, -OL, -OL,30.6
11/11/2022,2:09:10 PM,31.3, -OL, -OL,30.6
11/11/2022,2:09:20 PM,31.3, -OL, -OL,30.6
11/11/2022,2:09:30 PM,31.4, -OL, -OL,30.6
11/11/2022,2:09:40 PM,31.5, -OL, -OL,30.4
11/11/2022,2:09:50 PM,31.5, -OL, -OL,30.4
11/11/2022,2:10:00 PM,31.7, -OL, -OL,30.3
11/11/2022,2:10:10 PM,31.7, -OL, -OL,30.3
11/11/2022,2:10:20 PM,31.8, -OL, -OL,30.3
11/11/2022,2:10:30 PM,31.8, -OL, -OL,30.3
11/11/2022,2:10:40 PM,31.9, -OL, -OL,30.3
11/11/2022,2:10:50 PM,32.0, -OL, -OL,30.3
11/11/2022,2:11:00 PM,32.0, -OL, -OL,30.3
11/11/2022,2:11:10 PM,32.2, -OL, -OL,30.3
11/11/2022,2:11:20 PM,32.2, -OL, -OL,30.3
11/11/2022,2:11:30 PM,32.3, -OL, -OL,30.3
11/11/2022,2:11:40 PM,32.4, -OL, -OL,30.3
11/11/2022,2:11:50 PM,32.4, -OL, -OL,30.3
11/11/2022,2:12:00 PM,32.5, -OL, -OL,30.3
11/11/2022,2:12:10 PM,32.5, -OL, -OL,30.3
11/11/2022,2:12:20 PM,32.6, -OL, -OL,30.3
11/11/2022,2:12:30 PM,32.6, -OL, -OL,30.3
11/11/2022,2:12:40 PM,32.7, -OL, -OL,30.3
11/11/2022,2:12:50 PM,32.7, -OL, -OL,30.3
11/11/2022,2:13:00 PM,32.8, -OL, -OL,30.3
11/11/2022,2:13:10 PM,32.8, -OL, -OL,30.3
11/11/2022,2:13:20 PM,33.0, -OL, -OL,30.3
11/11/2022,2:13:30 PM,33.1, -OL, -OL,30.4
11/11/2022,2:13:40 PM,33.1, -OL, -OL,30.4
11/11/2022,2:13:50 PM,33.1, -OL, -OL,30.4
11/11/2022,2:14:00 PM,33.2, -OL, -OL,30.4
11/11/2022,2:14:10 PM,33.3, -OL, -OL,30.4
11/11/2022,2:14:20 PM,33.3, -OL, -OL,30.4
11/11/2022,2:14:30 PM,33.3, -OL, -OL,30.4
11/11/2022,2:14:40 PM,33.4, -OL, -OL,30.4
11/11/2022,2:14:50 PM,33.4, -OL, -OL,30.4
11/11/2022,2:15:00 PM,33.6, -OL, -OL,30.6
11/11/2022,2:15:10 PM,33.6, -OL, -OL,30.6
11/11/2022,2:15:20 PM,33.7, -OL, -OL,30.6
11/11/2022,2:15:30 PM,33.7, -OL, -OL,30.6
11/11/2022,2:15:40 PM,33.8, -OL, -OL,30.6
11/11/2022,2:15:50 PM,33.8, -OL, -OL,30.6
11/11/2022,2:16:00 PM,33.8, -OL, -OL,30.6
11/11/2022,2:16:10 PM,34.0, -OL, -OL,30.6
11/11/2022,2:16:20 PM,34.0, -OL, -OL,30.6
11/11/2022,2:16:30 PM,34.0, -OL, -OL,30.6
11/11/2022,2:16:40 PM,34.1, -OL, -OL,30.6
11/11/2022,2:16:50 PM,34.1, -OL, -OL,30.6
11/11/2022,2:17:00 PM,34.2, -OL, -OL,30.6
11/11/2022,2:17:10 PM,34.2, -OL, -OL,30.6
11/11/2022,2:17:20 PM,34.2, -OL, -OL,30.6
11/11/2022,2:17:30 PM,34.3, -OL, -OL,30.6
11/11/2022,2:17:40 PM,34.3, -OL, -OL,30.6
11/11/2022,2:17:50 PM,34.3, -OL, -OL,30.6
11/11/2022,2:18:00 PM,34.4, -OL, -OL,30.6
