11/13/2022,4:29:14 PM,27.7, -OL, -OL,29.7
11/13/2022,4:29:24 PM,27.8, -OL, -OL,29.8
11/13/2022,4:29:34 PM,27.9, -OL, -OL,30.0
11/13/2022,4:29:44 PM,28.1, -OL, -OL,30.1
11/13/2022,4:29:54 PM,28.2, -OL, -OL,30.1
11/13/2022,4:30:04 PM,28.3, -OL, -OL,30.1
11/13/2022,4:30:14 PM,28.4, -OL, -OL,30.1
11/13/2022,4:30:24 PM,28.6, -OL, -OL,30.1
11/13/2022,4:30:34 PM,28.6, -OL, -OL,30.1
11/13/2022,4:30:44 PM,28.7, -OL, -OL,30.1
11/13/2022,4:30:54 PM,28.8, -OL, -OL,30.1
11/13/2022,4:31:04 PM,28.8, -OL, -OL,30.0
11/13/2022,4:31:14 PM,29.0, -OL, -OL,30.0
11/13/2022,4:31:24 PM,29.0, -OL, -OL,30.0
11/13/2022,4:31:34 PM,29.1, -OL, -OL,30.0
11/13/2022,4:31:44 PM,29.1, -OL, -OL,30.0
11/13/2022,4:31:54 PM,29.2, -OL, -OL,30.0
11/13/2022,4:32:04 PM,29.3, -OL, -OL,30.0
11/13/2022,4:32:14 PM,29.3, -OL, -OL,30.0
11/13/2022,4:32:24 PM,29.4, -OL, -OL,30.0
11/13/2022,4:32:34 PM,29.4, -OL, -OL,30.0
11/13/2022,4:32:44 PM,29.6, -OL, -OL,30.1
11/13/2022,4:32:54 PM,29.6, -OL, -OL,30.1
11/13/2022,4:33:04 PM,29.7, -OL, -OL,30.1
11/13/2022,4:33:14 PM,29.7, -OL, -OL,30.1
11/13/2022,4:33:24 PM,29.8, -OL, -OL,30.1
11/13/2022,4:33:34 PM,29.8, -OL, -OL,30.1
11/13/2022,4:33:44 PM,29.9, -OL, -OL,30.2
11/13/2022,4:33:54 PM,29.9, -OL, -OL,30.2
11/13/2022,4:34:04 PM,30.1, -OL, -OL,30.2
11/13/2022,4:34:14 PM,30.1, -OL, -OL,30.2
11/13/2022,4:34:24 PM,30.1, -OL, -OL,30.3
11/13/2022,4:34:34 PM,30.2, -OL, -OL,30.3
11/13/2022,4:34:44 PM,30.2, -OL, -OL,30.3
11/13/2022,4:34:54 PM,30.3, -OL, -OL,30.3
11/13/2022,4:35:04 PM,30.3, -OL, -OL,30.3
11/13/2022,4:35:14 PM,30.4, -OL, -OL,30.3
11/13/2022,4:35:24 PM,30.4, -OL, -OL,30.3
11/13/2022,4:35:34 PM,30.6, -OL, -OL,30.3
11/13/2022,4:35:44 PM,30.6, -OL, -OL,30.3
11/13/2022,4:35:54 PM,30.6, -OL, -OL,30.3
11/13/2022,4:36:04 PM,30.7, -OL, -OL,30.3
11/13/2022,4:36:14 PM,30.7, -OL, -OL,30.3
11/13/2022,4:36:24 PM,30.7, -OL, -OL,30.2
11/13/2022,4:36:34 PM,30.8, -OL, -OL,30.2
11/13/2022,4:36:44 PM,30.8, -OL, -OL,30.2
11/13/2022,4:36:54 PM,30.8, -OL, -OL,30.2
11/13/2022,4:37:04 PM,30.9, -OL, -OL,30.2
11/13/2022,4:37:14 PM,30.9, -OL, -OL,30.2
11/13/2022,4:37:24 PM,30.9, -OL, -OL,30.2
11/13/2022,4:37:34 PM,31.1, -OL, -OL,30.2
11/13/2022,4:37:44 PM,31.1, -OL, -OL,30.2
11/13/2022,4:37:54 PM,31.1, -OL, -OL,30.2
11/13/2022,4:38:04 PM,31.2, -OL, -OL,30.2
11/13/2022,4:38:14 PM,31.2, -OL, -OL,30.2
11/13/2022,4:38:24 PM,31.2, -OL, -OL,30.2
11/13/2022,4:38:34 PM,31.3, -OL, -OL,30.2
11/13/2022,4:38:44 PM,31.3, -OL, -OL,30.2
11/13/2022,4:38:54 PM,31.3, -OL, -OL,30.2
11/13/2022,4:39:04 PM,31.4, -OL, -OL,30.2
11/13/2022,4:39:14 PM,31.4, -OL, -OL,30.2
11/13/2022,4:39:24 PM,31.4, -OL, -OL,30.2
11/13/2022,4:39:34 PM,31.5, -OL, -OL,30.3
11/13/2022,4:39:44 PM,31.5, -OL, -OL,30.3
