11/10/2022,5:05:38 PM,27.7, -OL, -OL,29.8
11/10/2022,5:05:48 PM,27.8, -OL, -OL,29.8
11/10/2022,5:05:58 PM,27.9, -OL, -OL,29.9
11/10/2022,5:06:08 PM,28.1, -OL, -OL,29.9
11/10/2022,5:06:18 PM,28.2, -OL, -OL,29.9
11/10/2022,5:06:28 PM,28.2, -OL, -OL,30.1
11/10/2022,5:06:38 PM,28.3, -OL, -OL,30.1
11/10/2022,5:06:48 PM,28.4, -OL, -OL,30.1
11/10/2022,5:06:58 PM,28.4, -OL, -OL,30.1
11/10/2022,5:07:08 PM,28.5, -OL, -OL,29.9
11/10/2022,5:07:18 PM,28.5, -OL, -OL,29.9
11/10/2022,5:07:28 PM,28.6, -OL, -OL,29.8
11/10/2022,5:07:38 PM,28.6, -OL, -OL,29.8
11/10/2022,5:07:48 PM,28.8, -OL, -OL,29.7
11/10/2022,5:07:58 PM,28.8, -OL, -OL,29.7
11/10/2022,5:08:08 PM,28.9, -OL, -OL,29.6
11/10/2022,5:08:18 PM,28.9, -OL, -OL,29.6
11/10/2022,5:08:28 PM,29.0, -OL, -OL,29.6
11/10/2022,5:08:38 PM,29.0, -OL, -OL,29.6
11/10/2022,5:08:48 PM,29.1, -OL, -OL,29.6
11/10/2022,5:08:58 PM,29.1, -OL, -OL,29.6
11/10/2022,5:09:08 PM,29.2, -OL, -OL,29.7
11/10/2022,5:09:18 PM,29.2, -OL, -OL,29.8
11/10/2022,5:09:28 PM,29.4, -OL, -OL,29.9
11/10/2022,5:09:38 PM,29.4, -OL, -OL,30.1
11/10/2022,5:09:48 PM,29.5, -OL, -OL,30.2
11/10/2022,5:09:58 PM,29.6, -OL, -OL,30.2
11/10/2022,5:10:08 PM,29.6, -OL, -OL,30.3
11/10/2022,5:10:18 PM,29.7, -OL, -OL,30.3
11/10/2022,5:10:28 PM,29.7, -OL, -OL,30.3
11/10/2022,5:10:38 PM,29.8, -OL, -OL,30.3
11/10/2022,5:10:48 PM,29.8, -OL, -OL,30.3
11/10/2022,5:10:58 PM,29.9, -OL, -OL,30.3
11/10/2022,5:11:08 PM,29.9, -OL, -OL,30.3
11/10/2022,5:11:18 PM,29.9, -OL, -OL,30.3
11/10/2022,5:11:28 PM,30.1, -OL, -OL,30.3
11/10/2022,5:11:38 PM,30.1, -OL, -OL,30.3
11/10/2022,5:11:48 PM,30.2, -OL, -OL,30.3
11/10/2022,5:11:58 PM,30.2, -OL, -OL,30.3
11/10/2022,5:12:08 PM,30.3, -OL, -OL,30.3
11/10/2022,5:12:18 PM,30.3, -OL, -OL,30.3
11/10/2022,5:12:28 PM,30.3, -OL, -OL,30.3
11/10/2022,5:12:38 PM,30.4, -OL, -OL,30.3
11/10/2022,5:12:48 PM,30.4, -OL, -OL,30.3
11/10/2022,5:12:58 PM,30.6, -OL, -OL,30.3
11/10/2022,5:13:08 PM,30.6, -OL, -OL,30.3
11/10/2022,5:13:18 PM,30.7, -OL, -OL,30.3
11/10/2022,5:13:28 PM,30.7, -OL, -OL,30.3
11/10/2022,5:13:38 PM,30.7, -OL, -OL,30.3
11/10/2022,5:13:48 PM,30.8, -OL, -OL,30.3
11/10/2022,5:13:58 PM,30.8, -OL, -OL,30.3
11/10/2022,5:14:08 PM,30.9, -OL, -OL,30.3
11/10/2022,5:14:18 PM,30.9, -OL, -OL,30.4
