11/16/2022,4:34:48 PM,27.0, -OL, -OL,30.1
11/16/2022,4:34:58 PM,27.1, -OL, -OL,30.1
11/16/2022,4:35:08 PM,27.2, -OL, -OL,30.1
11/16/2022,4:35:18 PM,27.4, -OL, -OL,30.1
11/16/2022,4:35:28 PM,27.4, -OL, -OL,30.1
11/16/2022,4:35:38 PM,27.5, -OL, -OL,30.1
11/16/2022,4:35:48 PM,27.6, -OL, -OL,30.1
11/16/2022,4:35:58 PM,27.7, -OL, -OL,30.1
11/16/2022,4:36:08 PM,27.7, -OL, -OL,30.1
11/16/2022,4:36:18 PM,27.9, -OL, -OL,30.1
11/16/2022,4:36:28 PM,28.0, -OL, -OL,29.9
11/16/2022,4:36:38 PM,28.1, -OL, -OL,29.9
11/16/2022,4:36:48 PM,28.1, -OL, -OL,29.8
11/16/2022,4:36:58 PM,28.2, -OL, -OL,29.8
11/16/2022,4:37:08 PM,28.3, -OL, -OL,29.8
11/16/2022,4:37:18 PM,28.3, -OL, -OL,29.8
11/16/2022,4:37:28 PM,28.5, -OL, -OL,29.8
11/16/2022,4:37:38 PM,28.5, -OL, -OL,29.8
11/16/2022,4:37:48 PM,28.6, -OL, -OL,29.8
11/16/2022,4:37:58 PM,28.6, -OL, -OL,29.8
11/16/2022,4:38:08 PM,28.7, -OL, -OL,29.8
11/16/2022,4:38:18 PM,28.8, -OL, -OL,29.8
11/16/2022,4:38:28 PM,28.8, -OL, -OL,29.8
11/16/2022,4:38:38 PM,28.9, -OL, -OL,29.8
11/16/2022,4:38:48 PM,28.9, -OL, -OL,29.8
11/16/2022,4:38:58 PM,29.1, -OL, -OL,29.8
11/16/2022,4:39:08 PM,29.2, -OL, -OL,29.8
11/16/2022,4:39:18 PM,29.2, -OL, -OL,29.8
11/16/2022,4:39:28 PM,29.3, -OL, -OL,29.8
11/16/2022,4:39:38 PM,29.3, -OL, -OL,29.9
11/16/2022,4:39:48 PM,29.4, -OL, -OL,30.1
11/16/2022,4:39:58 PM,29.4, -OL, -OL,30.2
11/16/2022,4:40:08 PM,29.6, -OL, -OL,30.3
11/16/2022,4:40:18 PM,29.6, -OL, -OL,30.3
11/16/2022,4:40:28 PM,29.7, -OL, -OL,30.4
11/16/2022,4:40:38 PM,29.7, -OL, -OL,30.6
11/16/2022,4:40:48 PM,29.8, -OL, -OL,30.7
11/16/2022,4:40:58 PM,29.9, -OL, -OL,30.7
11/16/2022,4:41:08 PM,29.9, -OL, -OL,30.8
11/16/2022,4:41:18 PM,30.1, -OL, -OL,30.8
11/16/2022,4:41:28 PM,30.1, -OL, -OL,30.8
11/16/2022,4:41:38 PM,30.2, -OL, -OL,30.8
11/16/2022,4:41:48 PM,30.2, -OL, -OL,30.8
11/16/2022,4:41:58 PM,30.3, -OL, -OL,30.7
11/16/2022,4:42:08 PM,30.3, -OL, -OL,30.7
11/16/2022,4:42:18 PM,30.4, -OL, -OL,30.7
11/16/2022,4:42:28 PM,30.4, -OL, -OL,30.6
11/16/2022,4:42:38 PM,30.6, -OL, -OL,30.6
11/16/2022,4:42:48 PM,30.6, -OL, -OL,30.6
11/16/2022,4:42:58 PM,30.7, -OL, -OL,30.5
11/16/2022,4:43:08 PM,30.7, -OL, -OL,30.5
11/16/2022,4:43:18 PM,30.7, -OL, -OL,30.5
11/16/2022,4:43:28 PM,30.8, -OL, -OL,30.5
11/16/2022,4:43:38 PM,30.8, -OL, -OL,30.5
11/16/2022,4:43:48 PM,30.9, -OL, -OL,30.5
11/16/2022,4:43:58 PM,30.9, -OL, -OL,30.5
11/16/2022,4:44:08 PM,31.1, -OL, -OL,30.5
11/16/2022,4:44:18 PM,31.1, -OL, -OL,30.5
11/16/2022,4:44:28 PM,31.2, -OL, -OL,30.5
11/16/2022,4:44:38 PM,31.2, -OL, -OL,30.5
11/16/2022,4:44:48 PM,31.3, -OL, -OL,30.5
11/16/2022,4:44:58 PM,31.3, -OL, -OL,30.5
11/16/2022,4:45:08 PM,31.3, -OL, -OL,30.5
11/16/2022,4:45:18 PM,31.4, -OL, -OL,30.5
11/16/2022,4:45:28 PM,31.4, -OL, -OL,30.5
11/16/2022,4:45:38 PM,31.6, -OL, -OL,30.5
11/16/2022,4:45:48 PM,31.6, -OL, -OL,30.5
11/16/2022,4:45:58 PM,31.6, -OL, -OL,30.5
11/16/2022,4:46:08 PM,31.7, -OL, -OL,30.5
11/16/2022,4:46:18 PM,31.7, -OL, -OL,30.5
11/16/2022,4:46:28 PM,31.8, -OL, -OL,30.5
11/16/2022,4:46:38 PM,31.8, -OL, -OL,30.5
11/16/2022,4:46:48 PM,31.8, -OL, -OL,30.5
11/16/2022,4:46:58 PM,31.9, -OL, -OL,30.5
11/16/2022,4:47:08 PM,31.9, -OL, -OL,30.5
11/16/2022,4:47:18 PM,31.9, -OL, -OL,30.5
11/16/2022,4:47:28 PM,32.0, -OL, -OL,30.5
11/16/2022,4:47:38 PM,32.0, -OL, -OL,30.5
11/16/2022,4:47:48 PM,32.0, -OL, -OL,30.5
11/16/2022,4:47:58 PM,32.1, -OL, -OL,30.5
11/16/2022,4:48:08 PM,32.1, -OL, -OL,30.5
11/16/2022,4:48:18 PM,32.1, -OL, -OL,30.5
11/16/2022,4:48:28 PM,32.2, -OL, -OL,30.5
11/16/2022,4:48:38 PM,32.2, -OL, -OL,30.5
11/16/2022,4:48:48 PM,32.2, -OL, -OL,30.5
11/16/2022,4:48:58 PM,32.3, -OL, -OL,30.5
11/16/2022,4:49:08 PM,32.3, -OL, -OL,30.5
11/16/2022,4:49:18 PM,32.3, -OL, -OL,30.5
11/16/2022,4:49:28 PM,32.4, -OL, -OL,30.5
11/16/2022,4:49:38 PM,32.4, -OL, -OL,30.5
