11/11/2022,2:30:28 PM,27.7, -OL, -OL,29.8
11/11/2022,2:30:38 PM,27.9, -OL, -OL,29.9
11/11/2022,2:30:48 PM,28.0, -OL, -OL,30.1
11/11/2022,2:30:58 PM,28.0, -OL, -OL,30.1
11/11/2022,2:31:08 PM,28.1, -OL, -OL,30.1
11/11/2022,2:31:18 PM,28.2, -OL, -OL,30.1
11/11/2022,2:31:28 PM,28.2, -OL, -OL,30.1
11/11/2022,2:31:38 PM,28.3, -OL, -OL,30.1
11/11/2022,2:31:48 PM,28.3, -OL, -OL,30.1
11/11/2022,2:31:58 PM,28.5, -OL, -OL,30.1
11/11/2022,2:32:08 PM,28.5, -OL, -OL,30.1
11/11/2022,2:32:18 PM,28.6, -OL, -OL,29.9
11/11/2022,2:32:28 PM,28.6, -OL, -OL,29.9
11/11/2022,2:32:38 PM,28.7, -OL, -OL,29.8
11/11/2022,2:32:48 PM,28.7, -OL, -OL,29.8
11/11/2022,2:32:58 PM,28.8, -OL, -OL,29.7
11/11/2022,2:33:08 PM,28.8, -OL, -OL,29.7
11/11/2022,2:33:18 PM,28.9, -OL, -OL,29.7
11/11/2022,2:33:28 PM,28.9, -OL, -OL,29.7
11/11/2022,2:33:38 PM,29.1, -OL, -OL,29.7
11/11/2022,2:33:48 PM,29.1, -OL, -OL,29.7
11/11/2022,2:33:58 PM,29.2, -OL, -OL,29.7
11/11/2022,2:34:08 PM,29.2, -OL, -OL,29.8
11/11/2022,2:34:18 PM,29.3, -OL, -OL,29.8
11/11/2022,2:34:28 PM,29.3, -OL, -OL,29.9
11/11/2022,2:34:38 PM,29.4, -OL, -OL,30.1
11/11/2022,2:34:48 PM,29.4, -OL, -OL,30.1
11/11/2022,2:34:58 PM,29.4, -OL, -OL,30.2
11/11/2022,2:35:08 PM,29.6, -OL, -OL,30.2
11/11/2022,2:35:18 PM,29.6, -OL, -OL,30.3
11/11/2022,2:35:28 PM,29.7, -OL, -OL,30.3
11/11/2022,2:35:38 PM,29.7, -OL, -OL,30.3
11/11/2022,2:35:48 PM,29.8, -OL, -OL,30.4
11/11/2022,2:35:58 PM,29.8, -OL, -OL,30.4
11/11/2022,2:36:08 PM,29.9, -OL, -OL,30.4
11/11/2022,2:36:18 PM,29.9, -OL, -OL,30.6
11/11/2022,2:36:28 PM,30.1, -OL, -OL,30.6
11/11/2022,2:36:38 PM,30.1, -OL, -OL,30.6
11/11/2022,2:36:48 PM,30.2, -OL, -OL,30.6
11/11/2022,2:36:58 PM,30.2, -OL, -OL,30.6
11/11/2022,2:37:08 PM,30.2, -OL, -OL,30.4
11/11/2022,2:37:18 PM,30.3, -OL, -OL,30.4
11/11/2022,2:37:28 PM,30.3, -OL, -OL,30.3
11/11/2022,2:37:38 PM,30.4, -OL, -OL,30.3
11/11/2022,2:37:48 PM,30.4, -OL, -OL,30.3
11/11/2022,2:37:58 PM,30.4, -OL, -OL,30.2
11/11/2022,2:38:08 PM,30.6, -OL, -OL,30.2
